1	الموجودات	U	1
2	المطلوبات	tn	1
3	الاستخدامات	fef	1
4	الموارد	ssf	1
11	الموجودات الثابتة		2
12	مشاريع تحت التنفيذ		2
13	المخزون	Inventory	2
14	القروض الممنوحة		2
15	الاستثمارات المالية		2
16	المدينون		2
18	النقود		2
19	الحسابات المتقابلة المدينة		2
21	رأس المال	Capital	2
22	الاحتياطيات	Reserves	2
23	التخصيصات		2
24	القروض المستلمة		2
25	المصارف الدائنة		2
26	الدائنون		2
28	حساب العمليات الجارية		2
29	الحسابات المتقابلة الدائنة		2
31	رواتب واجور		2
32	المستلزمات السلعية		2
33	المستلزمات الخدمية		2
34	مقاولات وخدمات		2
35	مشتريات البضائع بغرض البيع		2
36	الفوائد وايجارات الاراضي		2
37	الاندثار		2
38	المصروفات التحويلية		2
39	المصروفات الاخرى		2
41	ايراد نشاط الانتاج السلعي		2
42	ايراد النشاط التجاري		2
43	ايراد النشاط الخدمي		2
44	ايراد التشغيل للغير		2
45	كلفة الموجودات المصنعة داخليا		2
46	الفوائد وايجارات الاراضي		2
47	الاعانات		2
48	الايرادات التحويلية		2
49	الايرادات الاخرى		2
111	اراضي		3
112	مباني ومنشاة وطرق		3
113	الات ومعدات		3
114	وسائل نقل وانتقال		3
115	عدد وقوالب		3
116	اثاث واجهزة مكاتب		3
117	نباتات وحيوانات		3
118	نفقات ايرادية مؤجلة		3
121	اراضي		3
122	مباني وانشأت وطرق		3
123	الات ومعدات		3
124	وسائل نقل وانتقال		3
125	عدد وقوالب.		3
126	اثاث واجهزة مكاتب.		3
127	نباتات وحيوانات.		3
128	نفقات ايرادية مؤجلة.		3
129	انفاق استثماري		3
131	مخزن الخامات والمواد الاولية		3
132	مخزن الوقود والزيوت		3
133	مخزن الادوات الاحتياطية		3
134	مخزن مواد التعبئة والتغليف		3
135	مخزن المتنوعات		3
136	مخزن الانتاج		3
137	مخزن البضائع بغرض البيع		3
138	اعتمادات مستندية لشراء مواد		3
139	مخزن المواد الاخرى		3
141	قروض ممنوحة طويلة الاجل		3
142	قروض ممنوحة قصيرة الاجل		3
151	استثمارات طويلة الاجل		3
